,Height,Width
0,768,1024
1,2000,3008
2,2848,4288
3,768,1024
4,4441,6681
5,768,1024
6,4420,6641
7,2848,4288
8,4382,6581
9,576,767
10,1051,1502
11,566,679
12,768,1024
13,2592,3872
14,2000,3008
15,768,1024
16,768,1024
17,2848,4288
18,768,1024
19,2000,3008
20,4441,6642
21,641,962
22,4419,6668
23,702,1064
24,4439,6688
25,2848,4288
26,2000,3008
27,2016,3024
28,2000,3008
29,768,1024
30,768,1024
31,711,1007
32,2000,3008
33,1129,1504
34,2016,3024
35,2848,4288
36,2016,3024
37,4461,6661
38,4382,6601
39,1129,1504
40,768,1024
41,576,767
42,2304,3072
43,2000,3008
44,2848,4288
45,768,1024
46,2016,3024
47,768,1024
48,2016,3024
49,2848,4288
50,4459,6688
51,2848,4288
52,2848,4288
53,768,1024
54,2000,3008
55,4420,6620
56,2000,3008
57,2000,3008
58,1536,2048
59,768,1024
60,2848,4288
61,2848,4288
62,2848,4288
63,768,1024
64,2848,4288
65,768,1024
66,2592,3872
67,802,919
68,4402,6602
69,768,1024
70,2000,3008
71,768,1024
72,4420,6661
73,2848,4288
74,768,1024
75,2848,4288
76,2112,2816
77,4419,6648
78,768,1024
79,768,1024
80,768,1024
81,1129,1504
82,768,1024
83,2848,4288
84,2304,3072
85,629,963
86,2848,4288
87,2848,4288
88,4439,6688
89,768,1024
90,2000,3008
91,768,1024
92,1129,1504
93,767,1022
94,2848,4288
95,2000,3008
96,4421,6642
97,2848,4288
98,768,1024
99,2304,3072
100,4439,6628
101,2592,3872
102,4402,6622
103,2000,3008
104,768,1024
105,768,1024
106,802,919
107,2848,4288
108,1129,1504
109,2848,4288
110,768,1024
111,2304,3072
112,2304,3072
113,768,1024
114,2000,3008
115,2848,4288
116,2000,3008
117,2000,3008
118,2848,4288
119,2592,3872
120,576,767
121,4439,6708
122,2016,3024
123,4441,6622
124,2000,3008
125,4420,6621
126,2000,3008
127,2848,4288
128,768,1024
129,768,1024
130,768,1024
131,2848,4288
132,1936,2592
133,802,919
134,2000,3008
135,2848,4288
136,2000,3008
137,768,1024
138,2000,3008
139,802,919
140,2848,4288
141,4399,6648
142,2848,4288
143,768,1024
144,4401,6621
145,768,1024
146,717,1019
147,768,576
148,2000,3008
149,2848,4288
150,2000,3008
151,4401,6601
152,2000,3008
153,4441,6641
154,768,1024
155,768,1024
156,4479,6648
157,2848,4288
158,2848,4288
159,2848,4288
160,768,1024
161,768,1024
162,2848,4288
163,2000,3008
164,2000,3008
165,2000,3008
166,802,919
167,768,1024
168,2592,3872
169,2848,4288
170,768,1024
171,1536,2304
172,719,824
173,1536,2048
174,768,1024
175,2000,3008
176,768,1024
177,4439,6688
178,2848,4288
179,2848,4288
180,2848,4288
181,2848,4288
182,768,1024
183,2848,4288
184,2848,4288
185,2848,4288
186,2000,3008
187,2848,4288
188,2848,4288
189,2848,4288
190,2016,3024
191,2016,3024
192,4419,6668
193,2000,3008
194,645,966
195,1129,1504
196,2592,3872
197,2848,4288
198,4459,6648
199,1536,2304
200,768,1024
201,4439,6668
202,1129,1504
203,4420,6641
204,2848,4288
205,2848,4288
206,768,1024
207,1129,1504
208,2848,4288
209,576,767
210,2000,3008
211,2592,3872
212,768,1024
213,2000,3008
214,768,1024
215,768,1024
216,4439,6688
217,542,722
218,2848,4288
219,576,767
220,2112,2816
221,4459,6708
222,2848,4288
223,2848,4288
224,1536,2048
225,2848,4288
226,2000,3008
227,2592,3872
228,2592,3872
229,1936,2592
230,4422,6681
231,2016,3024
232,2848,4288
233,4439,6668
234,4401,6602
235,768,1024
236,2592,3872
237,768,1024
238,2848,4288
239,2016,3024
240,4401,6661
241,2592,3872
242,2000,3008
243,2304,3072
244,4420,6621
245,802,919
246,2000,3008
247,2848,4288
248,1536,2048
249,2592,3872
250,4459,6688
251,543,722
252,768,1024
253,768,1024
254,2000,3008
255,2000,3008
256,2592,3872
257,576,767
258,768,1024
259,2848,4288
260,768,1024
261,1051,1502
262,2000,3008
263,2848,4288
264,2016,3024
265,4440,6641
266,2848,4288
267,2848,4288
268,4401,6622
269,2848,4288
270,2000,3008
271,2848,4288
272,2848,4288
273,753,1028
274,2592,3872
275,4459,6728
276,2000,3008
277,674,962
278,2848,4288
279,2848,4288
280,2848,4288
281,768,1024
282,4441,6641
283,2000,3008
284,2016,3024
285,576,767
286,542,722
287,4380,6622
288,2848,4288
289,2848,4288
290,1936,2592
291,4400,6641
292,2848,4288
293,768,1024
294,768,1024
295,4459,6648
296,4420,6642
297,2848,4288
298,2848,4288
299,2000,3008
300,768,1024
301,4439,6648
302,768,1024
303,768,1024
304,2000,3008
305,768,1024
306,2848,4288
307,1129,1504
308,723,959
309,2000,3008
310,768,1024
311,4380,6620
312,2848,4288
313,2592,3872
314,802,919
315,4439,6668
316,2848,4288
317,576,767
318,4419,6628
319,1129,1504
320,2848,4288
321,2304,3072
322,2592,3872
323,4479,6668
324,2000,3008
325,2848,4288
326,2016,3024
327,2000,3008
328,2848,4288
329,2304,3072
330,1909,2601
331,2304,3072
332,768,1024
333,4399,6608
334,2000,3008
335,2592,3872
336,2016,3024
337,4439,6648
338,2848,4288
339,2592,3872
340,768,1024
341,1129,1504
342,4382,6601
343,2848,4288
344,2592,3872
345,2848,4288
346,1129,1504
347,2000,3008
348,768,1024
349,2848,4288
350,768,1024
351,2848,4288
352,768,1024
353,768,1024
354,1936,2592
355,4441,6641
356,767,1022
357,768,1024
358,2848,4288
359,802,919
360,4401,6621
361,674,962
362,2848,4288
363,768,1024
364,2848,4288
365,576,767
366,768,1024
367,768,1024
368,4441,6642
369,768,1024
370,2000,3008
371,2000,3008
372,768,1024
373,2016,3024
374,1988,2117
375,2848,4288
376,2848,4288
377,768,1024
378,2848,4288
379,768,1024
380,2848,4288
381,768,1024
382,1051,1502
383,2848,4288
384,2000,3008
385,768,1024
386,2848,4288
387,768,1024
388,2848,4288
389,2848,4288
390,768,1024
391,2848,4288
392,2000,3008
393,2848,4288
394,4439,6708
395,2000,3008
396,2848,4288
397,2592,3872
398,4401,6681
399,2848,4288
400,2000,3008
401,2592,3872
402,2000,3008
403,768,1024
404,2000,3008
405,768,1024
406,1936,2592
407,768,1024
408,4419,6648
409,2000,3008
410,576,767
411,4441,6661
412,2592,3872
413,2000,3008
414,4439,6688
415,2848,4288
416,1129,1504
417,2000,3008
418,4440,6681
419,2016,3024
420,768,1024
421,1536,2048
422,4441,6662
423,768,1024
424,753,1028
425,768,1024
426,2848,4288
427,2000,3008
428,713,1011
429,2848,4288
430,626,949
431,4439,6668
432,768,1024
433,768,1024
434,4459,6668
435,634,959
436,576,767
437,768,1024
438,768,1024
439,2848,4288
440,1536,2048
441,722,962
442,4419,6648
443,2592,3872
444,1536,2048
445,768,1024
446,2848,4288
447,768,1024
448,2304,3072
449,2848,4288
450,768,1024
451,4419,6628
452,2848,4288
453,2848,4288
454,768,1024
455,1536,2048
456,1129,1504
457,4439,6688
458,4399,6627
459,4439,6688
460,2016,3024
461,768,1024
462,768,1024
463,802,919
464,2848,4288
465,768,1024
466,768,1024
467,576,767
468,1704,2272
469,576,767
470,2592,3872
471,2848,4288
472,768,1024
473,768,1024
474,4441,6661
475,2016,3024
476,2000,3008
477,768,1024
478,2000,3008
479,2848,4288
480,4459,6688
481,2000,3008
482,768,1024
483,2848,4288
484,2016,3024
485,4439,6688
486,768,1024
487,768,1024
488,768,1024
489,768,1024
490,768,1024
491,4419,6688
492,768,1024
493,4440,6642
494,2848,4288
495,4439,6688
496,768,1024
497,2000,3008
498,2000,3008
499,2848,4288
500,2000,3008
501,4420,6621
502,768,1024
503,768,1024
504,802,919
505,2848,4288
506,2016,3024
507,768,1024
508,768,1024
509,2000,3008
510,2848,4288
511,2848,4288
512,4419,6607
513,2016,3024
514,4422,6661
515,2592,3872
516,2000,3008
517,768,1024
518,2304,3072
519,2592,3872
520,4419,6648
521,576,767
522,2016,3024
523,2848,4288
524,2000,3008
525,2592,3872
526,2848,4288
527,1536,2048
528,768,576
529,2848,4288
530,1936,2592
531,4420,6642
532,2122,2530
533,2000,3008
534,768,1024
535,768,1024
536,768,1024
537,576,767
538,2000,3008
539,2016,3024
540,4419,6648
541,2000,3008
542,670,962
543,4439,6668
544,768,1024
545,768,1024
546,2000,3008
547,802,919
548,2848,4288
549,2848,4288
550,2848,4288
551,4420,6640
552,2592,3872
553,2848,4288
554,2848,4288
555,4439,6668
556,768,1024
557,1956,2012
558,4419,6608
559,682,796
560,4459,6648
561,2016,3024
562,2016,3024
563,2000,3008
564,1536,2048
565,2304,3072
566,2592,3872
567,2848,4288
568,768,1024
569,2848,4288
570,2592,3872
571,576,767
572,1536,2048
573,2000,3008
574,768,1024
575,2304,3072
576,2848,4288
577,768,1024
578,4420,6622
579,2000,3008
580,1129,1504
581,4379,6608
582,2000,3008
583,768,1024
584,802,919
585,1936,2592
586,2848,4288
587,4459,6708
588,768,1024
589,1536,2048
590,2592,3872
591,768,1024
592,2000,3008
593,2592,3872
594,2848,4288
595,2848,4288
596,540,722
597,1536,2304
598,768,1024
599,2016,3024
600,2848,4288
601,768,1024
602,2592,3872
603,768,1024
604,4459,6688
605,767,1022
606,2000,3008
607,768,1024
608,2848,4288
609,2016,3024
610,768,1024
611,4422,6642
612,2848,4288
613,2848,4288
614,767,1022
615,2848,4288
616,2848,4288
617,802,919
618,2848,4288
619,2592,3872
620,576,767
621,4420,6641
622,4421,6642
623,768,1024
624,2848,4288
625,802,919
626,1536,2048
627,2848,4288
628,768,1024
629,2000,3008
630,576,767
631,2848,4288
